codigo_ponto;url_detalhe;imagem_origem_url;imagem_local;html_local;updated_at_utc
2900009174;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009174;;;data/raw/html_pocos/2900009174.html;2026-04-10T17:27:45.083135+00:00
2900009175;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009175;;;data/raw/html_pocos/2900009175.html;2026-04-10T17:27:45.481680+00:00
2900009176;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009176;;;data/raw/html_pocos/2900009176.html;2026-04-10T17:27:45.874948+00:00
2900009177;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009177;;;data/raw/html_pocos/2900009177.html;2026-04-10T17:27:46.274318+00:00
2900009178;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009178;;;data/raw/html_pocos/2900009178.html;2026-04-10T17:27:46.672856+00:00
2900009179;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009179;;;data/raw/html_pocos/2900009179.html;2026-04-10T17:27:47.108014+00:00
2900009180;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009180;;;data/raw/html_pocos/2900009180.html;2026-04-10T17:27:47.501827+00:00
2900013635;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013635;;;data/raw/html_pocos/2900013635.html;2026-04-10T17:27:47.896555+00:00
2900026934;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026934;;;data/raw/html_pocos/2900026934.html;2026-04-10T17:27:48.293593+00:00
2900026935;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026935;;;data/raw/html_pocos/2900026935.html;2026-04-10T17:27:48.687058+00:00
2900026936;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026936;;;data/raw/html_pocos/2900026936.html;2026-04-10T17:27:49.105948+00:00
2900026937;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026937;;;data/raw/html_pocos/2900026937.html;2026-04-10T17:27:49.513627+00:00
2900026938;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026938;;;data/raw/html_pocos/2900026938.html;2026-04-10T17:27:49.918262+00:00
2900026939;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026939;;;data/raw/html_pocos/2900026939.html;2026-04-10T17:27:50.324497+00:00
2900031107;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900031107;;;data/raw/html_pocos/2900031107.html;2026-04-10T17:27:50.716527+00:00
