codigo_ponto;topo_m;base_m;captacao;condicao;penetracao;data;nivel_da_agua_m;vazao_m3_h;aquifero_no_ponto__aquifero;data__nivel_da_agua_m;data__vazao_m3_h;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;topo_m_0_base_m_100_captacao_condicao_penetracao;aquifero;condicao__penetracao;topo_m_0_base_m_72_captacao_condicao_penetracao;topo_m_0_base_m_70_captacao_condicao_penetracao;topo_m_0_base_m_78_captacao_condicao_penetracao;topo_m_0_base_m_62_5_captacao_condicao_penetracao;topo_m_0_base_m_60_captacao_condicao_penetracao;topo_m_0_base_m_80_captacao_condicao_penetracao;topo_m_0_base_m_90_captacao_condicao_penetracao;topo_m_0_base_m_120_captacao_condicao_penetracao;topo_m_0_base_m_66_captacao_condicao_penetracao;topo_m_0_base_m_61_captacao_condicao_penetracao;topo_m_0_base_m_80_captacao_condicao_livre_penetracao;captacao__condicao;topo_m_0_base_m_114_captacao_condicao_penetracao;topo_m_0_base_m_96_captacao_condicao_penetracao;topo_m_0_base_m_150_captacao_condicao_penetracao;topo_m_0_base_m_126_captacao_condicao_penetracao;topo_m_0_base_m_138_captacao_condicao_penetracao;topo_m_0_base_m_105_captacao_condicao_penetracao;topo_m_0_base_m_54_captacao_condicao_penetracao;topo_m_10_base_m_70_captacao_condicao_penetracao;topo_m_0_base_m_110_captacao_condicao_penetracao;topo_m_0_base_m_48_captacao_condicao_penetracao;topo_m_0_base_m_115_captacao_condicao_penetracao;topo_m_0_base_m_67_captacao_condicao_penetracao;topo_m_0_base_m_108_captacao_condicao_penetracao;topo_m_0_base_m_68_captacao_condicao_penetracao;topo_m_0_base_m_102_captacao_condicao_penetracao;topo_m_0_base_m_84_captacao_condicao_penetracao;topo_m_0_base_m_130_captacao_condicao_penetracao;topo_m_30_base_m_90_captacao_condicao_penetracao;topo_m_0_base_m_86_captacao_condicao_penetracao;topo_m_0_base_m_156_captacao_condicao_penetracao;topo_m_0_base_m_107_captacao_condicao_penetracao;topo_m_0_base_m_140_captacao_condicao_penetracao;topo_m_0_base_m_57_captacao_condicao_penetracao;topo_m_10_base_m_72_captacao_condicao_penetracao;topo_m_53_3_base_m_132_captacao_condicao_penetracao
2900005896;76;100;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 76 Base (m): 100 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 76 | Base (m): | 100 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005896;data/raw/html_pocos/2900005896.html;;;2026-04-10T17:30:35.280214+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005897;1;70;SimultÃ¢nea;Confinado;Parcial;;0;0;Fissural | Topo (m): 1 Base (m): 70 Captação: SimultÃ¢nea Condição: Confinado Penetração: Parcial | Topo (m): | 1 | Base (m): | 70 | Captação: | SimultÃ¢nea | Condição: | Confinado | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005897;data/raw/html_pocos/2900005897.html;;;2026-04-10T17:30:35.674988+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005898;12;65;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 12 Base (m): 65 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 12 | Base (m): | 65 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005898;data/raw/html_pocos/2900005898.html;;;2026-04-10T17:30:36.074764+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005899;1;60;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 1 Base (m): 60 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 1 | Base (m): | 60 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005899;data/raw/html_pocos/2900005899.html;;;2026-04-10T17:30:36.473040+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005900;21;65;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 21 Base (m): 65 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 21 | Base (m): | 65 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005900;data/raw/html_pocos/2900005900.html;;;2026-04-10T17:30:36.910235+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005901;1;70;SimultÃ¢nea;Confinado;Parcial;;0;0;Fissural | Topo (m): 1 Base (m): 70 Captação: SimultÃ¢nea Condição: Confinado Penetração: Parcial | Topo (m): | 1 | Base (m): | 70 | Captação: | SimultÃ¢nea | Condição: | Confinado | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005901;data/raw/html_pocos/2900005901.html;;;2026-04-10T17:30:37.306389+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005902;29;70;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 29 Base (m): 70 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 29 | Base (m): | 70 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005902;data/raw/html_pocos/2900005902.html;;;2026-04-10T17:30:37.703988+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005903;26;48;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 26 Base (m): 48 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 26 | Base (m): | 48 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005903;data/raw/html_pocos/2900005903.html;;;2026-04-10T17:30:38.103459+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005904;5;70;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 5 Base (m): 70 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 5 | Base (m): | 70 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005904;data/raw/html_pocos/2900005904.html;;;2026-04-10T17:30:38.502430+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900005905;41;54;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 41 Base (m): 54 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 41 | Base (m): | 54 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005905;data/raw/html_pocos/2900005905.html;;;2026-04-10T17:30:38.897840+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
