codigo_ponto;perfuracao__data;perfuracao__profundidade_final_m;perfuracao__metodo;boca_do_tubo__data;boca_do_tubo__diametro_pol;profundidade_util__data;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc
2900005794;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005794;data/raw/html_pocos/2900005794.html;;;2026-04-10T17:30:33.689760+00:00
2900005794;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005794;data/raw/html_pocos/2900005794.html;;;2026-04-10T17:30:33.689760+00:00
2900005893;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005893;data/raw/html_pocos/2900005893.html;;;2026-04-10T17:30:34.083389+00:00
2900005893;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005893;data/raw/html_pocos/2900005893.html;;;2026-04-10T17:30:34.083389+00:00
2900005894;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005894;data/raw/html_pocos/2900005894.html;;;2026-04-10T17:30:34.481463+00:00
2900005894;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005894;data/raw/html_pocos/2900005894.html;;;2026-04-10T17:30:34.481463+00:00
2900005895;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005895;data/raw/html_pocos/2900005895.html;;;2026-04-10T17:30:34.880355+00:00
2900005895;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005895;data/raw/html_pocos/2900005895.html;;;2026-04-10T17:30:34.880355+00:00
2900005896;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005896;data/raw/html_pocos/2900005896.html;;;2026-04-10T17:30:35.280214+00:00
2900005896;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005896;data/raw/html_pocos/2900005896.html;;;2026-04-10T17:30:35.280214+00:00
