codigo_ponto;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;analises_quimicas__amostra;analises_quimicas__data_da_coleta;analises_quimicas__condutividade_eletrica_s_cm;analises_quimicas__qualidade_da_agua_pt_co;analises_quimicas__sabor_da_agua;analises_quimicas__qualidade_da_agua_odor;analises_quimicas__temperatura_co;analises_quimicas__turbides_ntu;analises_quimicas__solidos_suspensos_mg_l;analises_quimicas__solidos_sedimentaveis_mg_l;analises_quimicas__aspecto_natural;analises_quimicas__parametro;analises_quimicas__unidade
2900022427;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022427;data/raw/html_pocos/2900022427.html;;;2026-04-10T17:28:29.370939+00:00;CERB 1-9026/08;16/09/2008;1140;0;BOM;NATURAL;0;0,63;0;0;;;
2900022427;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022427;data/raw/html_pocos/2900022427.html;;;2026-04-10T17:28:29.370939+00:00;CERB 1-9026/08;16/09/2008;1140;0;BOM;NATURAL;0;0,63;0;0;;;
2900022428;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022428;data/raw/html_pocos/2900022428.html;;;2026-04-10T17:28:29.773262+00:00;CERB 1-9029/08;04/09/2008;1032;0;BOM;NATURAL;0;1,71;0;0;;;
2900022428;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022428;data/raw/html_pocos/2900022428.html;;;2026-04-10T17:28:29.773262+00:00;CERB 1-9029/08;04/09/2008;1032;0;BOM;NATURAL;0;1,71;0;0;;;
2900022429;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022429;data/raw/html_pocos/2900022429.html;;;2026-04-10T17:28:30.173821+00:00;CERB 1-9042/08;30/08/2008;578.4;5;BOM;NATURAL;0;11,8;0;0;;;
2900022429;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022429;data/raw/html_pocos/2900022429.html;;;2026-04-10T17:28:30.173821+00:00;CERB 1-9042/08;30/08/2008;578.4;5;BOM;NATURAL;0;11,8;0;0;;;
2900022430;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022430;data/raw/html_pocos/2900022430.html;;;2026-04-10T17:28:30.573062+00:00;CERB 1-9041/08;28/08/2008;307;0;BOM;NATURAL;0;53,2;0;0;;;
2900022430;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022430;data/raw/html_pocos/2900022430.html;;;2026-04-10T17:28:30.573062+00:00;CERB 1-9041/08;28/08/2008;307;0;BOM;NATURAL;0;53,2;0;0;;;
2900022431;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022431;data/raw/html_pocos/2900022431.html;;;2026-04-10T17:28:31.016135+00:00;CERB 1-9038/08;31/08/2008;455;0;BOM;NATURAL;0;3,01;0;0;;;
2900022431;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022431;data/raw/html_pocos/2900022431.html;;;2026-04-10T17:28:31.016135+00:00;CERB 1-9038/08;31/08/2008;455;0;BOM;NATURAL;0;3,01;0;0;;;
2900023684;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023684;data/raw/html_pocos/2900023684.html;;;2026-04-10T17:28:31.417174+00:00;CERB 2-3192;15/08/2009;1514;0;BOA;ISENTA;0;0,66;0;0;;;
2900023684;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023684;data/raw/html_pocos/2900023684.html;;;2026-04-10T17:28:31.417174+00:00;CERB 2-3192;15/08/2009;1514;0;BOA;ISENTA;0;0,66;0;0;;;
2900023685;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023685;data/raw/html_pocos/2900023685.html;;;2026-04-10T17:28:31.817443+00:00;CERB 2-3198;17/08/2009;1662;70;BOA;ISENTA;0;30,07;0;0;;;
2900023685;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023685;data/raw/html_pocos/2900023685.html;;;2026-04-10T17:28:31.817443+00:00;CERB 2-3198;17/08/2009;1662;70;BOA;ISENTA;0;30,07;0;0;;;
2900024322;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024322;data/raw/html_pocos/2900024322.html;;;2026-04-10T17:28:32.219774+00:00;;;;;;;;;;;;;
2900024322;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024322;data/raw/html_pocos/2900024322.html;;;2026-04-10T17:28:32.219774+00:00;;;;;;;;;;;;;
