codigo_ponto;bloco;de_m;ate_m;polegadas;milimetros;material;diametro_pol;diametro_mm;ranhura
2900024631;espaco_anular;0;21.7;;;Material da forma̤̣o;;;
2900024634;diametro;0;5.2;8;203.2000;;;;
2900024634;diametro;5.2;60;6;152.4000;;;;
2900024634;revestimento;0;5.2;;;Nao especificado;6;152.4;
2900024634;espaco_anular;0;5.2;;;Material da forma̤̣o;;;
2900024638;diametro;0;5.1;8;203.2000;;;;
2900024638;diametro;5.1;90;6;152.4000;;;;
2900024638;revestimento;0;5.1;;;Nao especificado;6;152.4;
2900024638;espaco_anular;0;5.1;;;Material da forma̤̣o;;;
2900024643;diametro;0;11.7;8;203.2000;;;;
2900024643;diametro;11.7;66;6;152.4000;;;;
2900024643;revestimento;0;11.7;;;Nao especificado;6;152.4;
2900024643;espaco_anular;0;11.7;;;Material da forma̤̣o;;;
2900024646;diametro;0;14.2;8;203.2000;;;;
2900024646;diametro;14.2;66;6;152.4000;;;;
2900024646;revestimento;0;14.2;;;A̤o sem costura com rosca e luva;6;152.4;
2900024646;espaco_anular;0;14.2;;;Material da forma̤̣o;;;
2900024648;diametro;0;19.6;8;203.2000;;;;
2900024648;diametro;19.6;90;6;152.4000;;;;
2900024648;revestimento;0;19.6;;;A̤o sem costura com rosca e luva;6;152.4;
2900024648;espaco_anular;0;19.6;;;Material da forma̤̣o;;;
2900026223;diametro;0;5.6;8;203.2000;;;;
2900026223;diametro;5.6;90;6;152.4000;;;;
2900026223;revestimento;0;5.6;;;A̤o sem costura com rosca e luva;6;152.4;
2900026223;espaco_anular;0;5.6;;;Pre-filtro;;;
2900027560;diametro;0;5.4;8;203.2000;;;;
2900027560;diametro;5.4;100;6;152.4000;;;;
2900027560;espaco_anular;0;5.4;;;Pre-filtro;;;
2900001134;diametro;0;10;10;254.0000;;;;
2900001134;revestimento;0;8;;;A̤o galvanizado com rosca e luva;6;152.4;
2900001134;filtro;8;10;;;Espiralado perfil redondo galvan.;6;152.4;0
2900001134;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900001134;espaco_anular;1;10;;;Pre-filtro;;;
2900009158;diametro;0;6;8;203.2000;;;;
2900009158;diametro;6;64;6;152.4000;;;;
2900009158;revestimento;0;7;;;A̤o sem costura com rosca e luva;6;152.4;
2900009158;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900009159;diametro;0;5;8;203.2000;;;;
2900009159;diametro;5;70;6;152.4000;;;;
2900009159;revestimento;0;6;;;A̤o sem costura com rosca e luva;6;152.4;
2900009159;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009160;diametro;0;6;8;203.2000;;;;
2900009160;diametro;6;67;6;152.4000;;;;
2900009160;revestimento;0;7;;;A̤o sem costura com rosca e luva;6;152.4;
2900009160;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009161;diametro;0;5;8;203.2000;;;;
2900009161;diametro;5;69;6;152.4000;;;;
2900009161;revestimento;0;6;;;A̤o sem costura com rosca e luva;6;152.4;
2900009161;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009162;diametro;0;13;8;203.2000;;;;
2900009162;diametro;13;88;6;152.4000;;;;
2900009162;revestimento;0;14;;;A̤o sem costura com rosca e luva;6;152.4;
2900009162;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009163;diametro;0;7;8;203.2000;;;;
2900009163;diametro;7;70;6;152.4000;;;;
2900009163;revestimento;0;8.4;;;A̤o sem costura com rosca e luva;6;152.4;
2900009163;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009164;diametro;0;5;8;203.2000;;;;
2900009164;diametro;5;50;6;152.4000;;;;
2900009164;revestimento;0;6;;;A̤o sem costura com rosca e luva;6;152.4;
2900009164;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009165;diametro;0;11;8;203.2000;;;;
2900009165;diametro;11;70;6;152.4000;;;;
2900009165;revestimento;0;12;;;A̤o sem costura com rosca e luva;6;152.4;
2900009165;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009166;diametro;0;2;8 1/2;215.9000;;;;
2900009166;diametro;2;5.2;8;203.2000;;;;
2900009166;diametro;5.2;46;6;152.4000;;;;
2900009166;revestimento;0;5.2;;;A̤o com costura;6;152.4;
2900009166;espaco_anular;0;0.6;;;Cimenta̤̣o;;;
2900009167;diametro;0;7;8;203.2000;;;;
2900009167;diametro;7;60;6;152.4000;;;;
2900009167;revestimento;0;7;;;A̤o com costura;6;152.4;
2900009167;espaco_anular;0;0.9;;;Cimenta̤̣o;;;
2900009168;diametro;0;23.5;8;203.2000;;;;
2900009168;diametro;23.5;70;6;152.4000;;;;
2900009168;revestimento;0;23.5;;;A̤o com costura;6;152.4;
2900009168;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900009169;diametro;0;22.2;8 1/2;215.9000;;;;
2900009169;diametro;22.2;65;6;152.4000;;;;
2900009169;revestimento;0;22.2;;;A̤o com costura;6;152.4;
2900009169;espaco_anular;0;0.9;;;Cimenta̤̣o;;;
2900009170;diametro;0;5;8;203.2000;;;;
2900009170;diametro;5;35;6;152.4000;;;;
2900009170;revestimento;0;5;;;A̤o sem costura com rosca e luva;6;152.4;
2900009170;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009171;diametro;0;16.7;8;203.2000;;;;
2900009171;diametro;16.7;40;6;152.4000;;;;
2900009171;revestimento;0;16.7;;;A̤o sem costura com rosca e luva;6;152.4;
2900009171;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009172;diametro;0;6;8;203.2000;;;;
2900009172;diametro;6;70;6;152.4000;;;;
2900009172;revestimento;0;7;;;A̤o sem costura com rosca e luva;6;152.4;
2900009172;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009173;diametro;0;39.2;8;203.2000;;;;
2900009173;diametro;39.2;72;6;152.4000;;;;
2900009173;revestimento;0;40;;;A̤o sem costura com rosca e luva;6;152.4;
2900009173;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009174;diametro;0;28;8;203.2000;;;;
2900009174;diametro;28;70;6;152.4000;;;;
2900009174;revestimento;0;28;;;A̤o sem costura com rosca e luva;6;152.4;
2900009174;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009175;diametro;0;4.8;8;203.2000;;;;
2900009175;diametro;4.8;70;6;152.4000;;;;
2900009175;revestimento;0;6.3;;;A̤o sem costura com rosca e luva;6;152.4;
2900009175;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009176;diametro;0;11.2;8;203.2000;;;;
2900009176;diametro;11.2;80;6;152.4000;;;;
2900009176;revestimento;0;12;;;A̤o sem costura com rosca e luva;6;152.4;
2900009177;diametro;0;11.4;8;203.2000;;;;
2900009177;diametro;11.4;80;6;152.4000;;;;
2900009177;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900009178;diametro;0;23.6;8 1/2;215.9000;;;;
2900009178;diametro;23.6;26.7;8;203.2000;;;;
2900009178;diametro;26.7;70;6;152.4000;;;;
2900009178;revestimento;0;27.4;;;A̤o sem costura com rosca e luva;6;152.4;
2900009178;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900009179;diametro;0;5.8;8;203.2000;;;;
2900009179;diametro;5.8;80;6;152.4000;;;;
2900009179;revestimento;0;6.8;;;A̤o sem costura com rosca e luva;6;152.4;
2900009179;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900009180;diametro;0;5.2;8;203.2000;;;;
2900009180;diametro;5.2;80;6;152.4000;;;;
2900009180;revestimento;0;6;;;A̤o sem costura com rosca e luva;6;152.4;
2900013635;revestimento;0;5.3;;;A̤o sem costura com rosca e luva;8;203.2;
2900013635;revestimento;5.3;45.3;;;A̤o sem costura com rosca e luva;6;152.4;
2900013635;espaco_anular;0;6;;;Material da forma̤̣o;;;
2900026937;diametro;0;11.5;8;203.2000;;;;
2900026937;diametro;11.5;120;6;152.4000;;;;
2900026937;revestimento;0;11.5;;;A̤o sem costura;6;152.4;
2900026937;espaco_anular;0;11.5;;;Material da forma̤̣o;;;
2900026938;diametro;0;32.5;8;203.2000;;;;
2900026938;diametro;32.5;120;6;152.4000;;;;
2900026938;revestimento;0;32.5;;;A̤o sem costura;6;152.4;
2900026938;espaco_anular;0;32.5;;;Material da forma̤̣o;;;
2900026939;diametro;0;11;8;203.2000;;;;
2900026939;diametro;11;120;6;152.4000;;;;
2900026939;revestimento;0;11;;;A̤o sem costura;6;152.4;
2900026939;espaco_anular;0;11;;;Material da forma̤̣o;;;
2900031110;diametro;0;20;10;254.0000;;;;
2900031110;diametro;20;21;8;203.2000;;;;
2900031110;diametro;21;120;6;152.4000;;;;
2900031110;revestimento;0;21;;;A̤o sem costura;6;152.4;
2900031110;espaco_anular;0;21;;;Material da forma̤̣o;;;
2900031110;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900031111;diametro;0;5;8;203.2000;;;;
2900031111;diametro;5;120;6;152.4000;;;;
2900031111;revestimento;0;5;;;A̤o sem costura;6;152.4;
2900031111;espaco_anular;0;5;;;Material da forma̤̣o;;;
2900031112;diametro;0;11;8;203.2000;;;;
2900031112;diametro;11;120;6;152.4000;;;;
2900031112;revestimento;0;11;;;A̤o sem costura;6;152.4;
2900031112;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900031112;espaco_anular;1;11;;;Material da forma̤̣o;;;
2900031768;diametro;0;23;10;254.0000;;;;
2900031768;diametro;23;150;6;152.4000;;;;
2900031768;revestimento;0;23;;;A̤o galvanizado sem rosca e luva;6;152.4;
2900031768;espaco_anular;0;23;;;Material da forma̤̣o;;;
2900031769;diametro;0;11;10;254.0000;;;;
2900031769;diametro;11;115;6;152.4000;;;;
2900031769;revestimento;0;11;;;A̤o galvanizado sem rosca e luva;6;152.4;
2900031769;espaco_anular;0;11;;;Material da forma̤̣o;;;
2900031772;diametro;0;19;10;254.0000;;;;
2900031772;diametro;19;119;6;152.4000;;;;
2900031772;revestimento;0;19;;;A̤o galvanizado sem rosca e luva;6;152.4;
2900031772;espaco_anular;0;19;;;Material da forma̤̣o;;;
2900033942;diametro;0;12;8;203.2000;;;;
2900033942;diametro;12;72;6;152.4000;;;;
2900033942;revestimento;0;12;;;Plastico p.v.c.;6;152.4;
2900033943;diametro;0;19;8;203.2000;;;;
2900033943;diametro;19;88;6;152.4000;;;;
2900033943;revestimento;0;19;;;Plastico p.v.c.;6;152.4;
2900033944;diametro;0;12;8;203.2000;;;;
2900033944;diametro;12;32;6;152.4000;;;;
2900033944;revestimento;0;12;;;Plastico p.v.c.;6;152.4;
2900034848;diametro;0;10.8;8;203.2000;;;;
2900034848;diametro;10.8;70;6;152.4000;;;;
2900034848;revestimento;0;10.8;;;A̤o galvanizado com rosca e luva;6;152.4;
2900034849;diametro;0;11;8;203.2000;;;;
2900034849;diametro;11;70;6;152.4000;;;;
2900034849;revestimento;0;11;;;A̤o sem costura;6;152.4;
2900034849;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900035631;diametro;0;11;08;203.2000;;;;
2900035631;diametro;11;150;06;152.4000;;;;
2900035631;revestimento;0;11;;;A̤o sem costura;6;152.4;
2900035631;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900035631;espaco_anular;1;11;;;Material da forma̤̣o;;;
2900035679;diametro;0;16;08;203.2000;;;;
2900035679;diametro;16;106;06;152.4000;;;;
2900035679;revestimento;0;16;;;A̤o galvanizado sem rosca e luva;6;152.4;
2900035679;espaco_anular;0;16;;;Material da forma̤̣o;;;
2900035680;diametro;0;5;08;203.2000;;;;
2900035680;diametro;5;132;06;152.4000;;;;
2900035680;revestimento;0;5;;;A̤o galvanizado sem rosca e luva;6;152.4;
2900035680;espaco_anular;0;5;;;Material da forma̤̣o;;;
2900001170;diametro;0;18;9;228.6000;;;;
2900001170;diametro;18;60;6;152.4000;;;;
2900001170;revestimento;0;18;;;A̤o galvanizado com rosca e luva;6;152.4;
2900001170;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900001523;diametro;0;25;8;203.2000;;;;
2900001523;diametro;25;60;6;152.4000;;;;
2900001523;revestimento;0;25;;;A̤o sem costura com rosca e luva;6;152.4;
2900001523;espaco_anular;0;0.9;;;Cimenta̤̣o;;;
2900005856;diametro;0;33.2;8;203.2000;;;;
2900005856;diametro;33.2;100;6;152.4000;;;;
